+---------------------------------------------+-------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                                | File Name                                                   | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+---------------------------------------------+-------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| asynchttpclient.channel                     | ChannelPool.java                                            | src      |       10 |       38 |       13 |       13 |       74 |
| asynchttpclient.channel                     | ChannelPoolPartitioning.java                                | src      |       13 |        0 |       12 |       78 |      103 |
| asynchttpclient.channel                     | DefaultKeepAliveStrategy.java                               | src      |        5 |        6 |        1 |       15 |       27 |
| asynchttpclient.channel                     | KeepAliveStrategy.java                                      | src      |        4 |        9 |       13 |        8 |       34 |
| asynchttpclient.channel                     | NoopChannelPool.java                                        | src      |       11 |        0 |       13 |       34 |       58 |
| asynchttpclient.channel                     | NoopChannelPool_ESTest.java                                 | test     |       12 |        0 |        4 |       67 |       83 |
| asynchttpclient.channel                     | NoopChannelPool_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |      332 |      353 |
+---------------------------------------------+-------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| asynchttpclient.config                      | AsyncHttpClientConfigDefaults.java                          | src      |       61 |        0 |       12 |      239 |      312 |
| asynchttpclient.config                      | AsyncHttpClientConfigHelper.java                            | src      |       17 |        4 |        0 |       71 |       92 |
+---------------------------------------------+-------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| asynchttpclient.cookie                      | CookieEvictionTask.java                                     | src      |        7 |        5 |        0 |       18 |       30 |
| asynchttpclient.cookie                      | CookieEvictionTask_ESTest.java                              | test     |        6 |        0 |        7 |       40 |       53 |
| asynchttpclient.cookie                      | CookieEvictionTask_ESTest_scaffolding.java                  | test     |       16 |        5 |        0 |      108 |      129 |
| asynchttpclient.cookie                      | CookieStore.java                                            | src      |        9 |       54 |       13 |       15 |       91 |
| asynchttpclient.cookie                      | ThreadSafeCookieStore.java                                  | src      |       47 |        0 |       20 |      229 |      296 |
| asynchttpclient.cookie                      | ThreadSafeCookieStore_ESTest.java                           | test     |       38 |        0 |       16 |      345 |      399 |
| asynchttpclient.cookie                      | ThreadSafeCookieStore_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |      231 |      252 |
+---------------------------------------------+-------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
