+----------------------------+-------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name               | File Name                                                   | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+----------------------------+-------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| collections4.bag           | AbstractBagDecorator.java                                   | src      |       15 |       24 |       17 |       43 |       99 |
| collections4.bag           | AbstractBagDecorator_ESTest.java                            | test     |        3 |        0 |        5 |       12 |       20 |
| collections4.bag           | AbstractBagDecorator_ESTest_scaffolding.java                | test     |       14 |        5 |        0 |       64 |       83 |
| collections4.bag           | AbstractMapBag.java                                         | src      |       42 |      198 |       26 |      359 |      625 |
| collections4.bag           | AbstractMapBag_ESTest.java                                  | test     |        3 |        0 |        5 |       12 |       20 |
| collections4.bag           | AbstractMapBag_ESTest_scaffolding.java                      | test     |       14 |        5 |        0 |      171 |      190 |
| collections4.bag           | AbstractSortedBagDecorator.java                             | src      |       12 |       24 |       17 |       30 |       83 |
| collections4.bag           | AbstractSortedBagDecorator_ESTest.java                      | test     |        3 |        0 |        5 |       12 |       20 |
| collections4.bag           | AbstractSortedBagDecorator_ESTest_scaffolding.java          | test     |       14 |        5 |        0 |       69 |       88 |
| collections4.bag           | CollectionBag.java                                          | src      |       18 |      110 |       26 |       88 |      242 |
| collections4.bag           | CollectionBag_ESTest.java                                   | test     |        3 |        0 |        5 |       12 |       20 |
| collections4.bag           | CollectionBag_ESTest_scaffolding.java                       | test     |       14 |        5 |        0 |      194 |      213 |
| collections4.bag           | CollectionSortedBag.java                                    | src      |       18 |       34 |       26 |       88 |      166 |
| collections4.bag           | CollectionSortedBag_ESTest.java                             | test     |        3 |        0 |        5 |       12 |       20 |
| collections4.bag           | CollectionSortedBag_ESTest_scaffolding.java                 | test     |       14 |        5 |        0 |      189 |      208 |
| collections4.bag           | HashBag.java                                                | src      |        8 |       35 |       17 |       26 |       86 |
| collections4.bag           | HashBag_ESTest.java                                         | test     |        6 |        0 |        7 |       28 |       41 |
| collections4.bag           | HashBag_ESTest_scaffolding.java                             | test     |       16 |        5 |        0 |       89 |      110 |
| collections4.bag           | PredicatedBag.java                                          | src      |       15 |       51 |       18 |       44 |      128 |
