+---------------------------------+-----------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                    | File Name                                                       | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+---------------------------------+-----------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| configuration2.beanutils        | BeanCreationContext.java                                        | src      |        6 |       42 |       16 |        8 |       72 |
| configuration2.beanutils        | BeanDeclaration.java                                            | src      |        8 |       63 |       16 |       11 |       98 |
| configuration2.beanutils        | BeanFactory.java                                                | src      |        3 |       37 |       16 |        5 |       61 |
| configuration2.beanutils        | BeanHelper.java                                                 | src      |       51 |      225 |       20 |      246 |      542 |
| configuration2.beanutils        | CombinedBeanDeclaration.java                                    | src      |       10 |       55 |       16 |       77 |      158 |
| configuration2.beanutils        | CombinedBeanDeclaration_ESTest.java                             | test     |       31 |        0 |       44 |      266 |      341 |
| configuration2.beanutils        | CombinedBeanDeclaration_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |     3075 |     3096 |
| configuration2.beanutils        | ConfigurationDynaBean.java                                      | src      |       28 |       34 |       20 |      125 |      207 |
| configuration2.beanutils        | ConfigurationDynaClass.java                                     | src      |       18 |       11 |       16 |       82 |      127 |
| configuration2.beanutils        | ConstructorArg.java                                             | src      |       17 |      102 |       16 |       58 |      193 |
| configuration2.beanutils        | ConstructorArg_ESTest.java                                      | test     |       22 |        0 |       12 |      147 |      181 |
| configuration2.beanutils        | ConstructorArg_ESTest_scaffolding.java                          | test     |       16 |        5 |        0 |     2432 |     2453 |
| configuration2.beanutils        | DefaultBeanFactory.java                                         | src      |       25 |      130 |       18 |      112 |      285 |
| configuration2.beanutils        | XMLBeanDeclaration.java                                         | src      |       55 |      312 |       18 |      215 |      600 |
| configuration2.beanutils        | XMLBeanDeclaration_ESTest.java                                  | test     |       66 |        0 |       68 |      599 |      733 |
| configuration2.beanutils        | XMLBeanDeclaration_ESTest_scaffolding.java                      | test     |       16 |        5 |        0 |     3299 |     3320 |
| configuration2.beanutils        | package-info.java                                               | src      |        1 |        8 |       16 |        1 |       26 |
+---------------------------------+-----------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| configuration2.builder.combined | BaseConfigurationBuilderProvider.java                           | src      |       24 |      150 |       17 |      119 |      310 |
| configuration2.builder.combined | CombinedBuilderParametersImpl.java                              | src      |       37 |      160 |       16 |      159 |      372 |
| configuration2.builder.combined | CombinedBuilderProperties.java                                  | src      |        9 |       95 |       16 |       16 |      136 |
| configuration2.builder.combined | CombinedConfigurationBuilder.java                               | src      |      131 |      571 |       18 |      579 |     1299 |
| configuration2.builder.combined | CombinedConfigurationBuilderProvider.java                       | src      |       11 |       30 |       19 |       45 |      105 |
