+-----------------------+---------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name          | File Name                                                     | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+-----------------------+---------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| core.internal         | DoubleFunction1N.java                                         | src      |        2 |        8 |       16 |        5 |       31 |
| core.internal         | DoubleFunction2N.java                                         | src      |        2 |        9 |       16 |        5 |       32 |
| core.internal         | DoubleFunction3N.java                                         | src      |        2 |       10 |       16 |        5 |       33 |
| core.internal         | GeometryInternalError.java                                    | src      |        4 |        6 |       16 |       12 |       38 |
| core.internal         | GeometryInternalError_ESTest.java                             | test     |        4 |        0 |        4 |       14 |       22 |
| core.internal         | GeometryInternalError_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |       78 |       99 |
| core.internal         | HyperplaneSubsets.java                                        | src      |       12 |       23 |       16 |       38 |       89 |
| core.internal         | HyperplaneSubsets_ESTest.java                                 | test     |        3 |        0 |        5 |       12 |       20 |
| core.internal         | HyperplaneSubsets_ESTest_scaffolding.java                     | test     |       14 |        5 |        0 |       62 |       81 |
| core.internal         | IteratorTransform.java                                        | src      |       13 |       22 |       16 |       41 |       92 |
| core.internal         | IteratorTransform_ESTest.java                                 | test     |        3 |        0 |        5 |       12 |       20 |
| core.internal         | IteratorTransform_ESTest_scaffolding.java                     | test     |       14 |        5 |        0 |       61 |       80 |
| core.internal         | SimpleTupleFormat.java                                        | src      |       66 |      159 |       17 |      214 |      456 |
| core.internal         | SimpleTupleFormat_ESTest.java                                 | test     |       48 |        0 |       44 |      287 |      379 |
| core.internal         | SimpleTupleFormat_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |       90 |      111 |
| core.internal         | package-info.java                                             | src      |        0 |        7 |       16 |        1 |       24 |
+-----------------------+---------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| core.partitioning.bsp | AbstractBSPTree.java                                          | src      |      163 |      354 |       47 |      559 |     1123 |
| core.partitioning.bsp | AbstractBSPTreeMergeOperator.java                             | src      |       20 |       56 |       20 |       40 |      136 |
| core.partitioning.bsp | AbstractBSPTreeMergeOperator_ESTest.java                      | test     |        3 |        0 |        5 |       12 |       20 |
| core.partitioning.bsp | AbstractBSPTreeMergeOperator_ESTest_scaffolding.java          | test     |       14 |        5 |        0 |       61 |       80 |
| core.partitioning.bsp | AbstractBSPTree_ESTest.java                                   | test     |        3 |        0 |        5 |       12 |       20 |
| core.partitioning.bsp | AbstractBSPTree_ESTest_scaffolding.java                       | test     |       14 |        5 |        0 |       73 |       92 |
| core.partitioning.bsp | AbstractPartitionedRegionBuilder.java                         | src      |       49 |       81 |       28 |      149 |      307 |
| core.partitioning.bsp | AbstractPartitionedRegionBuilder_ESTest.java                  | test     |        3 |        0 |        5 |       12 |       20 |
| core.partitioning.bsp | AbstractPartitionedRegionBuilder_ESTest_scaffolding.java      | test     |       14 |        5 |        0 |       67 |       86 |
| core.partitioning.bsp | AbstractRegionBSPTree.java                                    | src      |      163 |      365 |       49 |      561 |     1138 |
| core.partitioning.bsp | AbstractRegionBSPTree_ESTest.java                             | test     |        3 |        0 |        5 |       12 |       20 |
| core.partitioning.bsp | AbstractRegionBSPTree_ESTest_scaffolding.java                 | test     |       14 |        5 |        0 |       91 |      110 |
| core.partitioning.bsp | BSPSubtree.java                                               | src      |        6 |       21 |       16 |        8 |       51 |
| core.partitioning.bsp | BSPTree.java                                                  | src      |       25 |      129 |       16 |       35 |      205 |
| core.partitioning.bsp | BSPTreePrinter.java                                           | src      |       20 |       16 |       16 |       71 |      123 |
| core.partitioning.bsp | BSPTreePrinter_ESTest.java                                    | test     |        3 |        0 |        5 |       12 |       20 |
| core.partitioning.bsp | BSPTreePrinter_ESTest_scaffolding.java                        | test     |       14 |        5 |        0 |       64 |       83 |
