+---------------------------+-----------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name              | File Name                                                 | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+---------------------------+-----------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| euclidean.internal        | AbstractPathConnector.java                                | src      |       61 |      187 |       23 |      179 |      450 |
| euclidean.internal        | AbstractPathConnector_ESTest.java                         | test     |        4 |        0 |        4 |       14 |       22 |
| euclidean.internal        | AbstractPathConnector_ESTest_scaffolding.java             | test     |       16 |        5 |        0 |      147 |      168 |
| euclidean.internal        | EuclideanUtils.java                                       | src      |       23 |       23 |       17 |       67 |      130 |
| euclidean.internal        | EuclideanUtils_ESTest.java                                | test     |       15 |        0 |       20 |      135 |      170 |
| euclidean.internal        | EuclideanUtils_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |      150 |      171 |
| euclidean.internal        | Matrices.java                                             | src      |       10 |       43 |       16 |       32 |      101 |
| euclidean.internal        | Matrices_ESTest.java                                      | test     |       18 |        0 |        8 |       85 |      111 |
| euclidean.internal        | Matrices_ESTest_scaffolding.java                          | test     |       16 |        5 |        0 |       82 |      103 |
| euclidean.internal        | Vectors.java                                              | src      |       16 |       93 |       16 |       55 |      180 |
| euclidean.internal        | Vectors_ESTest.java                                       | test     |       30 |        0 |        8 |      145 |      183 |
| euclidean.internal        | Vectors_ESTest_scaffolding.java                           | test     |       16 |        5 |        0 |       89 |      110 |
| euclidean.internal        | package-info.java                                         | src      |        0 |        8 |       16 |        1 |       25 |
+---------------------------+-----------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| euclidean.oned            | AffineTransformMatrix1D.java                              | src      |       55 |      173 |       17 |      159 |      404 |
| euclidean.oned            | AffineTransformMatrix1D_ESTest.java                       | test     |       91 |        0 |       68 |      599 |      758 |
| euclidean.oned            | AffineTransformMatrix1D_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |      111 |      132 |
| euclidean.oned            | Interval.java                                             | src      |       69 |      167 |       29 |      245 |      510 |
| euclidean.oned            | Interval_ESTest.java                                      | test     |      104 |        0 |       68 |      800 |      972 |
| euclidean.oned            | Interval_ESTest_scaffolding.java                          | test     |       16 |        5 |        0 |      188 |      209 |
| euclidean.oned            | OrientedPoint.java                                        | src      |       53 |      101 |       17 |      222 |      393 |
| euclidean.oned            | OrientedPoint_ESTest.java                                 | test     |       65 |        0 |       40 |      510 |      615 |
| euclidean.oned            | OrientedPoint_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |      135 |      156 |
| euclidean.oned            | OrientedPoints.java                                       | src      |       12 |       44 |       16 |       39 |      111 |
| euclidean.oned            | OrientedPoints_ESTest.java                                | test     |       28 |        0 |       12 |      182 |      222 |
| euclidean.oned            | OrientedPoints_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |      132 |      153 |
| euclidean.oned            | RegionBSPTree1D.java                                      | src      |       96 |      145 |       30 |      283 |      554 |
| euclidean.oned            | RegionBSPTree1D_ESTest.java                               | test     |       56 |        0 |       44 |      481 |      581 |
| euclidean.oned            | RegionBSPTree1D_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |      226 |      247 |
| euclidean.oned            | Vector1D.java                                             | src      |       67 |      106 |       18 |      293 |      484 |
| euclidean.oned            | Vector1D_ESTest.java                                      | test     |      136 |        0 |       92 |      841 |     1069 |
| euclidean.oned            | Vector1D_ESTest_scaffolding.java                          | test     |       16 |        5 |        0 |      117 |      138 |
| euclidean.oned            | package-info.java                                         | src      |        0 |        7 |       16 |        1 |       24 |
+---------------------------+-----------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| euclidean.threed.line     | EmbeddedTreeLineSubset3D.java                             | src      |       24 |       29 |       16 |       88 |      157 |
| euclidean.threed.line     | EmbeddedTreeLineSubset3D_ESTest.java                      | test     |       36 |        0 |       36 |      336 |      408 |
| euclidean.threed.line     | EmbeddedTreeLineSubset3D_ESTest_scaffolding.java          | test     |       16 |        5 |        0 |      358 |      379 |
| euclidean.threed.line     | Line3D.java                                               | src      |       56 |      174 |       19 |      180 |      429 |
| euclidean.threed.line     | LineConvexSubset3D.java                                   | src      |       13 |       39 |       16 |       29 |       97 |
| euclidean.threed.line     | LineConvexSubset3D_ESTest.java                            | test     |       45 |        0 |       40 |      360 |      445 |
| euclidean.threed.line     | LineConvexSubset3D_ESTest_scaffolding.java                | test     |       16 |        5 |        0 |      221 |      242 |
| euclidean.threed.line     | LineSpanningSubset3D.java                                 | src      |       17 |       44 |       16 |       65 |      142 |
| euclidean.threed.line     | LineSpanningSubset3D_ESTest.java                          | test     |       21 |        0 |       16 |      168 |      205 |
| euclidean.threed.line     | LineSpanningSubset3D_ESTest_scaffolding.java              | test     |       16 |        5 |        0 |      181 |      202 |
| euclidean.threed.line     | LineSubset3D.java                                         | src      |        9 |       22 |       16 |       31 |       78 |
| euclidean.threed.line     | LineSubset3D_ESTest.java                                  | test     |       28 |        0 |       28 |      209 |      265 |
| euclidean.threed.line     | LineSubset3D_ESTest_scaffolding.java                      | test     |       16 |        5 |        0 |      200 |      221 |
| euclidean.threed.line     | LinecastPoint3D.java                                      | src      |       13 |       31 |       19 |       53 |      116 |
| euclidean.threed.line     | LinecastPoint3D_ESTest.java                               | test     |       15 |        0 |       18 |      121 |      154 |
| euclidean.threed.line     | LinecastPoint3D_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |      274 |      295 |
| euclidean.threed.line     | Linecastable3D.java                                       | src      |        6 |       37 |       16 |       12 |       71 |
| euclidean.threed.line     | Linecastable3D_ESTest.java                                | test     |       11 |        0 |       12 |       82 |      105 |
| euclidean.threed.line     | Linecastable3D_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |      230 |      251 |
| euclidean.threed.line     | Lines3D.java                                              | src      |       32 |      121 |       21 |       97 |      271 |
| euclidean.threed.line     | Lines3D_ESTest.java                                       | test     |       90 |        0 |      100 |      763 |      953 |
| euclidean.threed.line     | Lines3D_ESTest_scaffolding.java                           | test     |       16 |        5 |        0 |      306 |      327 |
| euclidean.threed.line     | Ray3D.java                                                | src      |       21 |       48 |       16 |       79 |      164 |
| euclidean.threed.line     | Ray3D_ESTest.java                                         | test     |       42 |        0 |       27 |      348 |      417 |
| euclidean.threed.line     | Ray3D_ESTest_scaffolding.java                             | test     |       16 |        5 |        0 |      243 |      264 |
| euclidean.threed.line     | ReverseRay3D.java                                         | src      |       20 |       45 |       16 |       77 |      158 |
| euclidean.threed.line     | ReverseRay3D_ESTest.java                                  | test     |       36 |        0 |       27 |      290 |      353 |
| euclidean.threed.line     | ReverseRay3D_ESTest_scaffolding.java                      | test     |       16 |        5 |        0 |      170 |      191 |
| euclidean.threed.line     | Segment3D.java                                            | src      |       22 |       27 |       16 |       92 |      157 |
| euclidean.threed.line     | Segment3D_ESTest.java                                     | test     |       53 |        0 |       43 |      460 |      556 |
