+------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name     | File Name                                                  | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| threed.obj       | AbstractObjParser.java                                     | src      |       31 |       65 |       23 |       94 |      213 |
| threed.obj       | AbstractObjParser_ESTest.java                              | test     |       63 |        0 |       88 |      378 |      529 |
| threed.obj       | AbstractObjParser_ESTest_scaffolding.java                  | test     |       16 |        5 |        0 |      118 |      139 |
| threed.obj       | AbstractObjPolygonReader.java                              | src      |       13 |       30 |       16 |       45 |      104 |
| threed.obj       | AbstractObjPolygonReader_ESTest.java                       | test     |       14 |        0 |       20 |       86 |      120 |
| threed.obj       | AbstractObjPolygonReader_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |      293 |      314 |
| threed.obj       | ObjBoundaryReadHandler3D.java                              | src      |       10 |       16 |       16 |       42 |       84 |
| threed.obj       | ObjBoundaryWriteHandler3D.java                             | src      |       27 |       42 |       17 |       98 |      184 |
| threed.obj       | ObjBoundaryWriteHandler3D_ESTest.java                      | test     |       38 |        0 |       48 |      291 |      377 |
| threed.obj       | ObjBoundaryWriteHandler3D_ESTest_scaffolding.java          | test     |       16 |        5 |        0 |      375 |      396 |
| threed.obj       | ObjConstants.java                                          | src      |       16 |        2 |       16 |       33 |       67 |
| threed.obj       | ObjFacetDefinitionReader.java                              | src      |       11 |        5 |       16 |       39 |       71 |
| threed.obj       | ObjFacetDefinitionReader_ESTest.java                       | test     |       12 |        0 |       15 |       72 |       99 |
| threed.obj       | ObjFacetDefinitionReader_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |      174 |      195 |
| threed.obj       | ObjTriangleMeshReader.java                                 | src      |       15 |       14 |       18 |       47 |       94 |
| threed.obj       | ObjTriangleMeshReader_ESTest.java                          | test     |       15 |        0 |       23 |      101 |      139 |
| threed.obj       | ObjTriangleMeshReader_ESTest_scaffolding.java              | test     |       16 |        5 |        0 |      281 |      302 |
| threed.obj       | ObjWriter.java                                             | src      |       67 |      188 |       20 |      233 |      508 |
| threed.obj       | ObjWriter_ESTest.java                                      | test     |       68 |        0 |      104 |      517 |      689 |
| threed.obj       | ObjWriter_ESTest_scaffolding.java                          | test     |       16 |        5 |        0 |      351 |      372 |
| threed.obj       | PolygonObjParser.java                                      | src      |       68 |      174 |       18 |      228 |      488 |
| threed.obj       | PolygonObjParser_ESTest.java                               | test     |       55 |        0 |       55 |      407 |      517 |
| threed.obj       | PolygonObjParser_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |      173 |      194 |
| threed.obj       | package-info.java                                          | src      |        0 |        5 |       16 |        1 |       22 |
+------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| threed.stl       | BinaryStlFacetDefinition.java                              | src      |        6 |       16 |       16 |       16 |       54 |
| threed.stl       | BinaryStlFacetDefinitionReader.java                        | src      |       37 |       49 |       20 |      102 |      208 |
| threed.stl       | BinaryStlFacetDefinitionReader_ESTest.java                 | test     |       50 |        0 |       84 |      324 |      458 |
| threed.stl       | BinaryStlFacetDefinitionReader_ESTest_scaffolding.java     | test     |       16 |        5 |        0 |      109 |      130 |
| threed.stl       | BinaryStlFacetDefinition_ESTest.java                       | test     |       10 |        0 |       10 |       65 |       85 |
| threed.stl       | BinaryStlFacetDefinition_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |      111 |      132 |
| threed.stl       | BinaryStlWriter.java                                       | src      |       19 |       54 |       18 |       61 |      152 |
| threed.stl       | BinaryStlWriter_ESTest.java                                | test     |       27 |        0 |       40 |      183 |      250 |
| threed.stl       | BinaryStlWriter_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |      155 |      176 |
| threed.stl       | StlBoundaryReadHandler3D.java                              | src      |        9 |       11 |       16 |       33 |       69 |
| threed.stl       | StlBoundaryReadHandler3D_ESTest.java                       | test     |       14 |        0 |       20 |      102 |      136 |
| threed.stl       | StlBoundaryReadHandler3D_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |      212 |      233 |
| threed.stl       | StlBoundaryWriteHandler3D.java                             | src      |       31 |       39 |       26 |      123 |      219 |
| threed.stl       | StlBoundaryWriteHandler3D_ESTest.java                      | test     |       34 |        0 |       56 |      272 |      362 |
| threed.stl       | StlBoundaryWriteHandler3D_ESTest_scaffolding.java          | test     |       16 |        5 |        0 |      384 |      405 |
| threed.stl       | StlConstants.java                                          | src      |       16 |        5 |       32 |       33 |       86 |
| threed.stl       | StlFacetDefinitionReaders.java                             | src      |        9 |       13 |       20 |       35 |       77 |
| threed.stl       | StlFacetDefinitionReaders_ESTest.java                      | test     |       12 |        0 |       17 |       81 |      110 |
| threed.stl       | StlFacetDefinitionReaders_ESTest_scaffolding.java          | test     |       16 |        5 |        0 |      117 |      138 |
| threed.stl       | StlUtils.java                                              | src      |       10 |       32 |       18 |       40 |      100 |
