+------------------+--------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name     | File Name                                              | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+------------------+--------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| oned             | AngularInterval.java                                   | src      |       78 |      218 |       32 |      294 |      622 |
| oned             | AngularInterval_ESTest.java                            | test     |       98 |        0 |       56 |      830 |      984 |
| oned             | AngularInterval_ESTest_scaffolding.java                | test     |       16 |        5 |        0 |      294 |      315 |
| oned             | CutAngle.java                                          | src      |       49 |      111 |       16 |      204 |      380 |
| oned             | CutAngle_ESTest.java                                   | test     |       59 |        0 |       32 |      502 |      593 |
| oned             | CutAngle_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |      159 |      180 |
| oned             | CutAngles.java                                         | src      |        9 |       40 |       16 |       27 |       92 |
| oned             | CutAngles_ESTest.java                                  | test     |       25 |        0 |        4 |      157 |      186 |
| oned             | CutAngles_ESTest_scaffolding.java                      | test     |       16 |        5 |        0 |      154 |      175 |
| oned             | Point1S.java                                           | src      |       44 |      145 |       16 |      156 |      361 |
| oned             | Point1S_ESTest.java                                    | test     |       85 |        0 |       56 |      593 |      734 |
| oned             | Point1S_ESTest_scaffolding.java                        | test     |       16 |        5 |        0 |      139 |      160 |
| oned             | RegionBSPTree1S.java                                   | src      |       85 |      116 |       32 |      282 |      515 |
| oned             | RegionBSPTree1S_ESTest.java                            | test     |       51 |        0 |       40 |      443 |      534 |
| oned             | RegionBSPTree1S_ESTest_scaffolding.java                | test     |       16 |        5 |        0 |      246 |      267 |
| oned             | Transform1S.java                                       | src      |       32 |       78 |       17 |      100 |      227 |
| oned             | Transform1S_ESTest.java                                | test     |       40 |        0 |       16 |      304 |      360 |
| oned             | Transform1S_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |      133 |      154 |
| oned             | package-info.java                                      | src      |        0 |       13 |       16 |        1 |       30 |
+------------------+--------------------------------------------------------+----------+----------+----------+----------+----------+----------+
