+------------------------------------------------------------+--------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                                               | File Name                                              | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+------------------------------------------------------------+--------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| imaging.color                                              | ColorCieLab.java                                       | src      |       13 |       50 |       16 |       52 |      131 |
| imaging.color                                              | ColorCieLab_ESTest.java                                | test     |       16 |        0 |        4 |      120 |      140 |
| imaging.color                                              | ColorCieLab_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.color                                              | ColorCieLch.java                                       | src      |       13 |       52 |       16 |       52 |      133 |
| imaging.color                                              | ColorCieLch_ESTest.java                                | test     |       16 |        0 |        4 |      111 |      131 |
| imaging.color                                              | ColorCieLch_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.color                                              | ColorCieLuv.java                                       | src      |       13 |       49 |       16 |       52 |      130 |
| imaging.color                                              | ColorCieLuv_ESTest.java                                | test     |       16 |        0 |        4 |      120 |      140 |
| imaging.color                                              | ColorCieLuv_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.color                                              | ColorCmy.java                                          | src      |       16 |       73 |       16 |       55 |      160 |
| imaging.color                                              | ColorCmy_ESTest.java                                   | test     |       16 |        0 |        4 |      106 |      126 |
| imaging.color                                              | ColorCmy_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.color                                              | ColorCmyk.java                                         | src      |       16 |       81 |       16 |       62 |      175 |
| imaging.color                                              | ColorCmyk_ESTest.java                                  | test     |       20 |        0 |        4 |      130 |      154 |
| imaging.color                                              | ColorCmyk_ESTest_scaffolding.java                      | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.color                                              | ColorConversions.java                                  | src      |      169 |       32 |       71 |      581 |      853 |
| imaging.color                                              | ColorConversions_ESTest.java                           | test     |      108 |        0 |       76 |      645 |      829 |
| imaging.color                                              | ColorConversions_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |       98 |      119 |
| imaging.color                                              | ColorDin99Lab.java                                     | src      |       10 |       11 |       14 |       47 |       82 |
| imaging.color                                              | ColorDin99Lab_ESTest.java                              | test     |       17 |        0 |        4 |      139 |      160 |
| imaging.color                                              | ColorDin99Lab_ESTest_scaffolding.java                  | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.color                                              | ColorHsl.java                                          | src      |       13 |       49 |       16 |       52 |      130 |
| imaging.color                                              | ColorHsl_ESTest.java                                   | test     |       18 |        0 |        4 |      110 |      132 |
| imaging.color                                              | ColorHsl_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.color                                              | ColorHsv.java                                          | src      |       13 |       49 |       16 |       52 |      130 |
| imaging.color                                              | ColorHsv_ESTest.java                                   | test     |       17 |        0 |        4 |      128 |      149 |
| imaging.color                                              | ColorHsv_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.color                                              | ColorHunterLab.java                                    | src      |       13 |       49 |       16 |       52 |      130 |
| imaging.color                                              | ColorHunterLab_ESTest.java                             | test     |       16 |        0 |        4 |      128 |      148 |
| imaging.color                                              | ColorHunterLab_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.color                                              | ColorXyz.java                                          | src      |       13 |       50 |       16 |       52 |      131 |
| imaging.color                                              | ColorXyz_ESTest.java                                   | test     |       16 |        0 |        4 |      120 |      140 |
| imaging.color                                              | ColorXyz_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.color                                              | package-info.java                                      | src      |        1 |        3 |       16 |        1 |       21 |
+------------------------------------------------------------+--------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| imaging.common.bytesource                                  | ByteSource.java                                        | src      |       13 |        7 |       16 |       35 |       71 |
| imaging.common.bytesource                                  | ByteSourceArray.java                                   | src      |       11 |        0 |       17 |       43 |       71 |
| imaging.common.bytesource                                  | ByteSourceArray_ESTest.java                            | test     |       24 |        0 |       26 |      137 |      187 |
| imaging.common.bytesource                                  | ByteSourceArray_ESTest_scaffolding.java                | test     |       16 |        5 |        0 |       85 |      106 |
| imaging.common.bytesource                                  | ByteSourceFile.java                                    | src      |       12 |        0 |       17 |       53 |       82 |
| imaging.common.bytesource                                  | ByteSourceFile_ESTest.java                             | test     |       27 |        0 |       28 |      174 |      229 |
| imaging.common.bytesource                                  | ByteSourceFile_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |       85 |      106 |
| imaging.common.bytesource                                  | ByteSourceInputStream.java                             | src      |       46 |        0 |       23 |      204 |      273 |
| imaging.common.bytesource                                  | ByteSourceInputStream_ESTest.java                      | test     |       79 |        0 |       51 |      467 |      597 |
| imaging.common.bytesource                                  | ByteSourceInputStream_ESTest_scaffolding.java          | test     |       16 |        5 |        0 |       94 |      115 |
| imaging.common.bytesource                                  | ByteSource_ESTest.java                                 | test     |       48 |        0 |       54 |      302 |      404 |
| imaging.common.bytesource                                  | ByteSource_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |       98 |      119 |
| imaging.common.bytesource                                  | package-info.java                                      | src      |        2 |        3 |       16 |        1 |       22 |
+------------------------------------------------------------+--------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| imaging.common.itu_t4                                      | BitArrayOutputStream.java                              | src      |       12 |        4 |       16 |       67 |       99 |
| imaging.common.itu_t4                                      | BitArrayOutputStream_ESTest.java                       | test     |       22 |        0 |       27 |      128 |      177 |
| imaging.common.itu_t4                                      | BitArrayOutputStream_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.common.itu_t4                                      | BitInputStreamFlexible.java                            | src      |       12 |        5 |       28 |       63 |      108 |
| imaging.common.itu_t4                                      | BitInputStreamFlexible_ESTest.java                     | test     |       23 |        0 |       24 |      167 |      214 |
| imaging.common.itu_t4                                      | BitInputStreamFlexible_ESTest_scaffolding.java         | test     |       16 |        5 |        0 |       83 |      104 |
| imaging.common.itu_t4                                      | HuffmanTree.java                                       | src      |        6 |        3 |       16 |       65 |       90 |
| imaging.common.itu_t4                                      | HuffmanTreeException.java                              | src      |        3 |        0 |       16 |       10 |       29 |
| imaging.common.itu_t4                                      | HuffmanTreeException_ESTest.java                       | test     |        4 |        0 |        4 |       16 |       24 |
| imaging.common.itu_t4                                      | HuffmanTreeException_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.common.itu_t4                                      | HuffmanTree_ESTest.java                                | test     |       34 |        0 |       49 |      253 |      336 |
| imaging.common.itu_t4                                      | HuffmanTree_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |       90 |      111 |
| imaging.common.itu_t4                                      | T4AndT6Compression.java                                | src      |       37 |       57 |       22 |      598 |      714 |
| imaging.common.itu_t4                                      | T4AndT6Compression_ESTest.java                         | test     |      107 |        0 |      154 |      657 |      918 |
| imaging.common.itu_t4                                      | T4AndT6Compression_ESTest_scaffolding.java             | test     |       16 |        5 |        0 |       99 |      120 |
| imaging.common.itu_t4                                      | T4_T6_Tables.java                                      | src      |        9 |        0 |       16 |      237 |      262 |
| imaging.common.itu_t4                                      | T4_T6_Tables_ESTest.java                               | test     |        5 |        0 |        4 |       27 |       36 |
| imaging.common.itu_t4                                      | T4_T6_Tables_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |       82 |      103 |
| imaging.common.itu_t4                                      | package-info.java                                      | src      |        2 |        3 |       16 |        1 |       22 |
+------------------------------------------------------------+--------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| imaging.common.mylzw                                       | BitsToByteInputStream.java                             | src      |        9 |        0 |       16 |       31 |       56 |
| imaging.common.mylzw                                       | BitsToByteInputStream_ESTest.java                      | test     |       31 |        0 |       38 |      249 |      318 |
| imaging.common.mylzw                                       | BitsToByteInputStream_ESTest_scaffolding.java          | test     |       16 |        5 |        0 |       86 |      107 |
| imaging.common.mylzw                                       | MyBitInputStream.java                                  | src      |       18 |        0 |       17 |       62 |       97 |
| imaging.common.mylzw                                       | MyBitInputStream_ESTest.java                           | test     |       23 |        0 |       22 |      180 |      225 |
| imaging.common.mylzw                                       | MyBitInputStream_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |       83 |      104 |
| imaging.common.mylzw                                       | MyBitOutputStream.java                                 | src      |       16 |        0 |       24 |       64 |      104 |
| imaging.common.mylzw                                       | MyBitOutputStream_ESTest.java                          | test     |       26 |        0 |       25 |      202 |      253 |
| imaging.common.mylzw                                       | MyBitOutputStream_ESTest_scaffolding.java              | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.common.mylzw                                       | MyLzwCompressor.java                                   | src      |       52 |        0 |       16 |      194 |      262 |
| imaging.common.mylzw                                       | MyLzwCompressor_ESTest.java                            | test     |       70 |        0 |       26 |      669 |      765 |
| imaging.common.mylzw                                       | MyLzwCompressor_ESTest_scaffolding.java                | test     |       16 |        5 |        0 |       88 |      109 |
| imaging.common.mylzw                                       | MyLzwDecompressor.java                                 | src      |       40 |        0 |       18 |      151 |      209 |
| imaging.common.mylzw                                       | MyLzwDecompressor_ESTest.java                          | test     |       27 |        0 |       34 |      197 |      258 |
| imaging.common.mylzw                                       | MyLzwDecompressor_ESTest_scaffolding.java              | test     |       16 |        5 |        0 |       91 |      112 |
| imaging.common.mylzw                                       | package-info.java                                      | src      |        2 |        3 |       16 |        1 |       22 |
+------------------------------------------------------------+--------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| imaging.common                                             | BasicCParser.java                                      | src      |       10 |        6 |       20 |      384 |      420 |
| imaging.common                                             | BasicCParser_ESTest.java                               | test     |       86 |        0 |       84 |      654 |      824 |
| imaging.common                                             | BasicCParser_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |       85 |      106 |
| imaging.common                                             | BinaryConstant.java                                    | src      |       11 |        0 |       16 |       53 |       80 |
| imaging.common                                             | BinaryConstant_ESTest.java                             | test     |       34 |        0 |       26 |      224 |      284 |
| imaging.common                                             | BinaryConstant_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.common                                             | BinaryFileParser.java                                  | src      |       10 |        3 |       18 |       46 |       77 |
| imaging.common                                             | BinaryFileParser_ESTest.java                           | test     |       19 |        0 |       16 |      190 |      225 |
| imaging.common                                             | BinaryFileParser_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.common                                             | BinaryFunctions.java                                   | src      |       58 |       19 |       16 |      279 |      372 |
| imaging.common                                             | BinaryOutputStream.java                                | src      |       15 |        0 |       17 |       81 |      113 |
| imaging.common                                             | BinaryOutputStream_ESTest.java                         | test     |       49 |        0 |       62 |      319 |      430 |
| imaging.common                                             | BinaryOutputStream_ESTest_scaffolding.java             | test     |       16 |        5 |        0 |       78 |       99 |
| imaging.common                                             | BufferedImageFactory.java                              | src      |        4 |        0 |       16 |        8 |       28 |
| imaging.common                                             | ByteConversions.java                                   | src      |       46 |       13 |       16 |      336 |      411 |
| imaging.common                                             | ByteConversions_ESTest.java                            | test     |      112 |        0 |      116 |      714 |      942 |
| imaging.common                                             | ByteConversions_ESTest_scaffolding.java                | test     |       16 |        5 |        0 |       82 |      103 |
| imaging.common                                             | FastByteArrayOutputStream.java                         | src      |        7 |        4 |       16 |       29 |       56 |
