+------------------------------+-----------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                 | File Name                                           | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+------------------------------+-----------------------------------------------------+----------+----------+----------+----------+----------+----------+
| jexl3.annotations            | NoJexl.java                                         | src      |        4 |        8 |       16 |       11 |       39 |
+------------------------------+-----------------------------------------------------+----------+----------+----------+----------+----------+----------+
| jexl3.internal.introspection | AbstractExecutor.java                               | src      |       25 |      102 |       18 |      111 |      256 |
| jexl3.internal.introspection | AbstractExecutor_ESTest.java                        | test     |       37 |        0 |       20 |      254 |      311 |
| jexl3.internal.introspection | AbstractExecutor_ESTest_scaffolding.java            | test     |       16 |        5 |        0 |      262 |      283 |
| jexl3.internal.introspection | ArrayIterator.java                                  | src      |        7 |       33 |       17 |       41 |       98 |
| jexl3.internal.introspection | ArrayIterator_ESTest.java                           | test     |       10 |        0 |       15 |       48 |       73 |
| jexl3.internal.introspection | ArrayIterator_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |       78 |       99 |
| jexl3.internal.introspection | ArrayListWrapper.java                               | src      |        8 |       12 |       16 |       50 |       86 |
| jexl3.internal.introspection | ArrayListWrapper_ESTest.java                        | test     |        7 |        0 |       10 |       31 |       48 |
| jexl3.internal.introspection | ArrayListWrapper_ESTest_scaffolding.java            | test     |       16 |        5 |        0 |       78 |       99 |
| jexl3.internal.introspection | BooleanGetExecutor.java                             | src      |        6 |       19 |       17 |       43 |       85 |
| jexl3.internal.introspection | BooleanGetExecutor_ESTest.java                      | test     |       10 |        0 |       12 |       68 |       90 |
| jexl3.internal.introspection | BooleanGetExecutor_ESTest_scaffolding.java          | test     |       16 |        5 |        0 |      244 |      265 |
| jexl3.internal.introspection | ClassMap.java                                       | src      |       16 |      111 |       38 |      143 |      308 |
| jexl3.internal.introspection | ClassMap_ESTest.java                                | test     |       17 |        0 |       14 |      131 |      162 |
| jexl3.internal.introspection | ClassMap_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |      103 |      124 |
| jexl3.internal.introspection | ConstructorMethod.java                              | src      |        9 |       14 |       16 |       81 |      120 |
| jexl3.internal.introspection | ConstructorMethod_ESTest.java                       | test     |       17 |        0 |       23 |      101 |      141 |
| jexl3.internal.introspection | ConstructorMethod_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |      237 |      258 |
| jexl3.internal.introspection | DuckGetExecutor.java                                | src      |        7 |       24 |       17 |       42 |       90 |
| jexl3.internal.introspection | DuckGetExecutor_ESTest.java                         | test     |        8 |        0 |       12 |       48 |       68 |
| jexl3.internal.introspection | DuckGetExecutor_ESTest_scaffolding.java             | test     |       16 |        5 |        0 |      242 |      263 |
| jexl3.internal.introspection | DuckSetExecutor.java                                | src      |        7 |       33 |       16 |       53 |      109 |
| jexl3.internal.introspection | DuckSetExecutor_ESTest.java                         | test     |        8 |        0 |       12 |       48 |       68 |
| jexl3.internal.introspection | DuckSetExecutor_ESTest_scaffolding.java             | test     |       16 |        5 |        0 |      241 |      262 |
| jexl3.internal.introspection | EnumerationIterator.java                            | src      |        8 |       14 |       17 |       20 |       59 |
| jexl3.internal.introspection | EnumerationIterator_ESTest.java                     | test     |       14 |        0 |       16 |       86 |      116 |
| jexl3.internal.introspection | EnumerationIterator_ESTest_scaffolding.java         | test     |       16 |        5 |        0 |       84 |      105 |
| jexl3.internal.introspection | FieldGetExecutor.java                               | src      |        9 |       18 |       16 |       41 |       84 |
| jexl3.internal.introspection | FieldGetExecutor_ESTest.java                        | test     |        9 |        0 |       12 |       56 |       77 |
| jexl3.internal.introspection | FieldGetExecutor_ESTest_scaffolding.java            | test     |       16 |        5 |        0 |      239 |      260 |
| jexl3.internal.introspection | FieldSetExecutor.java                               | src      |        9 |       19 |       16 |       51 |       95 |
| jexl3.internal.introspection | FieldSetExecutor_ESTest.java                        | test     |        9 |        0 |       12 |       58 |       79 |
| jexl3.internal.introspection | FieldSetExecutor_ESTest_scaffolding.java            | test     |       16 |        5 |        0 |      239 |      260 |
| jexl3.internal.introspection | IndexedType.java                                    | src      |       19 |       72 |       16 |      131 |      238 |
