+---------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name        | File Name                                                  | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+---------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| net.bsd             | RCommandClient.java                                        | src      |       39 |      218 |       18 |      131 |      406 |
| net.bsd             | RCommandClient_ESTest.java                                 | test     |       49 |        0 |      171 |      306 |      526 |
| net.bsd             | RCommandClient_ESTest_scaffolding.java                     | test     |       17 |        5 |        0 |       98 |      120 |
| net.bsd             | RExecClient.java                                           | src      |       37 |      138 |       18 |      106 |      299 |
| net.bsd             | RExecClient_ESTest.java                                    | test     |       19 |        0 |       20 |      112 |      151 |
| net.bsd             | RExecClient_ESTest_scaffolding.java                        | test     |       16 |        5 |        0 |       89 |      110 |
| net.bsd             | RLoginClient.java                                          | src      |        9 |       85 |       16 |       23 |      133 |
| net.bsd             | RLoginClient_ESTest.java                                   | test     |        9 |        0 |       16 |       41 |       66 |
| net.bsd             | RLoginClient_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |       93 |      114 |
| net.bsd             | package-info.java                                          | src      |        1 |        3 |       16 |        1 |       21 |
+---------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| net.chargen         | CharGenTCPClient.java                                      | src      |       11 |       33 |       16 |       24 |       84 |
| net.chargen         | CharGenTCPClient_ESTest.java                               | test     |        4 |        0 |        4 |       16 |       24 |
| net.chargen         | CharGenTCPClient_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |       88 |      109 |
| net.chargen         | CharGenUDPClient.java                                      | src      |       16 |       51 |       17 |       47 |      131 |
| net.chargen         | CharGenUDPClient_ESTest.java                               | test     |       17 |        0 |       23 |      105 |      145 |
| net.chargen         | CharGenUDPClient_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |       85 |      106 |
| net.chargen         | package-info.java                                          | src      |        1 |        3 |       16 |        1 |       21 |
+---------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| net.daytime         | DaytimeTCPClient.java                                      | src      |       12 |       28 |       18 |       31 |       89 |
| net.daytime         | DaytimeTCPClient_ESTest.java                               | test     |        5 |        0 |        8 |       21 |       34 |
| net.daytime         | DaytimeTCPClient_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |       88 |      109 |
| net.daytime         | DaytimeUDPClient.java                                      | src      |       12 |       29 |       17 |       27 |       85 |
| net.daytime         | DaytimeUDPClient_ESTest.java                               | test     |       16 |        0 |       22 |      108 |      146 |
| net.daytime         | DaytimeUDPClient_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |       83 |      104 |
| net.daytime         | package-info.java                                          | src      |        1 |        3 |       16 |        1 |       21 |
+---------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| net.discard         | DiscardTCPClient.java                                      | src      |        7 |       26 |       16 |       16 |       65 |
| net.discard         | DiscardTCPClient_ESTest.java                               | test     |        4 |        0 |        4 |       16 |       24 |
| net.discard         | DiscardTCPClient_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |       88 |      109 |
| net.discard         | DiscardUDPClient.java                                      | src      |       15 |       40 |       16 |       34 |      105 |
| net.discard         | DiscardUDPClient_ESTest.java                               | test     |       16 |        0 |       24 |      100 |      140 |
| net.discard         | DiscardUDPClient_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |       85 |      106 |
