+-----------------------+----------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name          | File Name                                                      | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+-----------------------+----------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| sampling.distribution | AhrensDieterExponentialSampler.java                            | src      |       18 |       47 |       31 |       72 |      168 |
| sampling.distribution | AhrensDieterExponentialSampler_ESTest.java                     | test     |       18 |        0 |       19 |      120 |      157 |
| sampling.distribution | AhrensDieterExponentialSampler_ESTest_scaffolding.java         | test     |       16 |        5 |        0 |       89 |      110 |
| sampling.distribution | AhrensDieterMarsagliaTsangGammaSampler.java                    | src      |       34 |      107 |       25 |      161 |      327 |
| sampling.distribution | AhrensDieterMarsagliaTsangGammaSampler_ESTest.java             | test     |       20 |        0 |       19 |      132 |      171 |
| sampling.distribution | AhrensDieterMarsagliaTsangGammaSampler_ESTest_scaffolding.java | test     |       16 |        5 |        0 |      124 |      145 |
| sampling.distribution | AliasMethodDiscreteSampler.java                                | src      |       43 |      260 |      110 |      148 |      561 |
| sampling.distribution | AliasMethodDiscreteSampler_ESTest.java                         | test     |       25 |        0 |       21 |      199 |      245 |
| sampling.distribution | AliasMethodDiscreteSampler_ESTest_scaffolding.java             | test     |       16 |        5 |        0 |       90 |      111 |
| sampling.distribution | BoxMullerGaussianSampler.java                                  | src      |       10 |       17 |       26 |       49 |      102 |
| sampling.distribution | BoxMullerGaussianSampler_ESTest.java                           | test     |       14 |        0 |       15 |       77 |      106 |
| sampling.distribution | BoxMullerGaussianSampler_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |       87 |      108 |
| sampling.distribution | BoxMullerLogNormalSampler.java                                 | src      |        5 |       17 |       16 |       26 |       64 |
| sampling.distribution | BoxMullerLogNormalSampler_ESTest.java                          | test     |        9 |        0 |       11 |       58 |       78 |
| sampling.distribution | BoxMullerLogNormalSampler_ESTest_scaffolding.java              | test     |       16 |        5 |        0 |       93 |      114 |
| sampling.distribution | BoxMullerNormalizedGaussianSampler.java                        | src      |       12 |       25 |       26 |       43 |      106 |
| sampling.distribution | BoxMullerNormalizedGaussianSampler_ESTest.java                 | test     |       11 |        0 |       12 |       63 |       86 |
| sampling.distribution | BoxMullerNormalizedGaussianSampler_ESTest_scaffolding.java     | test     |       16 |        5 |        0 |       98 |      119 |
| sampling.distribution | ChengBetaSampler.java                                          | src      |       32 |      112 |       40 |      192 |      376 |
| sampling.distribution | ChengBetaSampler_ESTest.java                                   | test     |       29 |        0 |       23 |      197 |      249 |
| sampling.distribution | ChengBetaSampler_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |      125 |      146 |
| sampling.distribution | ContinuousInverseCumulativeProbabilityFunction.java            | src      |        1 |       21 |       16 |        4 |       42 |
| sampling.distribution | ContinuousSampler.java                                         | src      |        1 |       10 |       16 |        4 |       31 |
| sampling.distribution | ContinuousUniformSampler.java                                  | src      |       16 |       82 |       28 |       99 |      225 |
| sampling.distribution | ContinuousUniformSampler_ESTest.java                           | test     |       44 |        0 |       16 |      171 |      231 |
| sampling.distribution | ContinuousUniformSampler_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |       88 |      109 |
| sampling.distribution | DirichletSampler.java                                          | src      |       24 |       85 |       29 |      124 |      262 |
| sampling.distribution | DirichletSampler_ESTest.java                                   | test     |       21 |        0 |       29 |      135 |      185 |
| sampling.distribution | DirichletSampler_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |      108 |      129 |
| sampling.distribution | DiscreteInverseCumulativeProbabilityFunction.java              | src      |        1 |       21 |       16 |        4 |       42 |
| sampling.distribution | DiscreteSampler.java                                           | src      |        1 |       10 |       16 |        4 |       31 |
| sampling.distribution | DiscreteUniformSampler.java                                    | src      |       44 |      140 |       59 |      200 |      443 |
| sampling.distribution | DiscreteUniformSampler_ESTest.java                             | test     |       21 |        0 |       15 |      134 |      170 |
| sampling.distribution | DiscreteUniformSampler_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |      100 |      121 |
| sampling.distribution | GaussianSampler.java                                           | src      |        8 |       54 |       16 |       49 |      127 |
| sampling.distribution | GaussianSampler_ESTest.java                                    | test     |       23 |        0 |       29 |      151 |      203 |
| sampling.distribution | GaussianSampler_ESTest_scaffolding.java                        | test     |       16 |        5 |        0 |      100 |      121 |
| sampling.distribution | GeometricSampler.java                                          | src      |       13 |       52 |       29 |       62 |      156 |
| sampling.distribution | GeometricSampler_ESTest.java                                   | test     |       11 |        0 |       16 |       56 |       83 |
| sampling.distribution | GeometricSampler_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |       98 |      119 |
| sampling.distribution | GuideTableDiscreteSampler.java                                 | src      |       22 |       85 |       39 |       84 |      230 |
| sampling.distribution | GuideTableDiscreteSampler_ESTest.java                          | test     |       24 |        0 |       33 |      153 |      210 |
| sampling.distribution | GuideTableDiscreteSampler_ESTest_scaffolding.java              | test     |       16 |        5 |        0 |       88 |      109 |
| sampling.distribution | InternalGamma.java                                             | src      |        7 |       60 |       20 |       37 |      124 |
| sampling.distribution | InternalGamma_ESTest.java                                      | test     |        5 |        0 |        4 |       20 |       29 |
| sampling.distribution | InternalGamma_ESTest_scaffolding.java                          | test     |       16 |        5 |        0 |       78 |       99 |
| sampling.distribution | InternalUtils.java                                             | src      |       22 |       84 |       24 |       97 |      227 |
| sampling.distribution | InternalUtils_ESTest.java                                      | test     |       28 |        0 |       32 |      152 |      212 |
| sampling.distribution | InternalUtils_ESTest_scaffolding.java                          | test     |       16 |        5 |        0 |      102 |      123 |
| sampling.distribution | InverseTransformContinuousSampler.java                         | src      |        7 |       62 |       16 |       34 |      119 |
| sampling.distribution | InverseTransformContinuousSampler_ESTest.java                  | test     |       12 |        0 |       12 |       89 |      113 |
| sampling.distribution | InverseTransformContinuousSampler_ESTest_scaffolding.java      | test     |       16 |        5 |        0 |       92 |      113 |
| sampling.distribution | InverseTransformDiscreteSampler.java                           | src      |        7 |       62 |       16 |       34 |      119 |
| sampling.distribution | InverseTransformDiscreteSampler_ESTest.java                    | test     |       12 |        0 |       12 |       89 |      113 |
| sampling.distribution | InverseTransformDiscreteSampler_ESTest_scaffolding.java        | test     |       16 |        5 |        0 |       92 |      113 |
| sampling.distribution | InverseTransformParetoSampler.java                             | src      |        8 |       32 |       16 |       52 |      108 |
| sampling.distribution | InverseTransformParetoSampler_ESTest.java                      | test     |       17 |        0 |       22 |      100 |      139 |
| sampling.distribution | InverseTransformParetoSampler_ESTest_scaffolding.java          | test     |       16 |        5 |        0 |       86 |      107 |
| sampling.distribution | KempSmallMeanPoissonSampler.java                               | src      |       10 |       48 |       30 |       52 |      140 |
| sampling.distribution | KempSmallMeanPoissonSampler_ESTest.java                        | test     |       15 |        0 |       24 |       81 |      120 |
