+--------------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name             | File Name                                                  | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+--------------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| vfs2.auth                | StaticUserAuthenticator.java                               | src      |       21 |       23 |       16 |       98 |      158 |
| vfs2.auth                | StaticUserAuthenticator_ESTest.java                        | test     |       27 |        0 |       12 |      171 |      210 |
| vfs2.auth                | StaticUserAuthenticator_ESTest_scaffolding.java            | test     |       16 |        5 |        0 |      141 |      162 |
+--------------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| vfs2.cache               | AbstractFilesCache.java                                    | src      |        3 |        8 |       17 |        8 |       36 |
| vfs2.cache               | AbstractFilesCache_ESTest.java                             | test     |        6 |        0 |        8 |       28 |       42 |
| vfs2.cache               | AbstractFilesCache_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |      147 |      168 |
| vfs2.cache               | DefaultFilesCache.java                                     | src      |       13 |       18 |       23 |       57 |      111 |
| vfs2.cache               | DefaultFilesCache_ESTest.java                              | test     |       22 |        0 |       28 |      157 |      207 |
| vfs2.cache               | DefaultFilesCache_ESTest_scaffolding.java                  | test     |       16 |        5 |        0 |     1465 |     1486 |
| vfs2.cache               | FileSystemAndNameKey.java                                  | src      |       10 |        6 |       16 |       32 |       64 |
| vfs2.cache               | FileSystemAndNameKey_ESTest.java                           | test     |       12 |        0 |        8 |      110 |      130 |
| vfs2.cache               | FileSystemAndNameKey_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |      205 |      226 |
| vfs2.cache               | LRUFilesCache.java                                         | src      |       37 |       20 |       24 |      144 |      225 |
| vfs2.cache               | NullFilesCache.java                                        | src      |        7 |       10 |       19 |       23 |       59 |
| vfs2.cache               | NullFilesCache_ESTest.java                                 | test     |        8 |        0 |        4 |       44 |       56 |
| vfs2.cache               | NullFilesCache_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |      104 |      125 |
| vfs2.cache               | OnCallRefreshFileObject.java                               | src      |       27 |        3 |       16 |      130 |      176 |
| vfs2.cache               | SoftRefFilesCache.java                                     | src      |       38 |       16 |       23 |      173 |      250 |
| vfs2.cache               | SoftRefFilesCache_ESTest.java                              | test     |       17 |        0 |       20 |      124 |      161 |
| vfs2.cache               | SoftRefFilesCache_ESTest_scaffolding.java                  | test     |       16 |        5 |        0 |     1998 |     2019 |
| vfs2.cache               | WeakRefFilesCache.java                                     | src      |        4 |        7 |       16 |       11 |       38 |
| vfs2.cache               | WeakRefFilesCache_ESTest.java                              | test     |        4 |        0 |        4 |       19 |       27 |
| vfs2.cache               | WeakRefFilesCache_ESTest_scaffolding.java                  | test     |       16 |        5 |        0 |      139 |      160 |
+--------------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| vfs2.events              | AbstractFileChangeEvent.java                               | src      |        4 |        3 |       16 |       10 |       33 |
| vfs2.events              | AbstractFileChangeEvent_ESTest.java                        | test     |        6 |        0 |        7 |       34 |       47 |
| vfs2.events              | AbstractFileChangeEvent_ESTest_scaffolding.java            | test     |       16 |        5 |        0 |      102 |      123 |
| vfs2.events              | ChangedEvent.java                                          | src      |        4 |        3 |       16 |       12 |       35 |
| vfs2.events              | ChangedEvent_ESTest.java                                   | test     |        6 |        0 |        7 |       33 |       46 |
| vfs2.events              | ChangedEvent_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |       99 |      120 |
| vfs2.events              | CreateEvent.java                                           | src      |        4 |        3 |       16 |       12 |       35 |
| vfs2.events              | CreateEvent_ESTest.java                                    | test     |        6 |        0 |        7 |       33 |       46 |
| vfs2.events              | CreateEvent_ESTest_scaffolding.java                        | test     |       16 |        5 |        0 |       99 |      120 |
| vfs2.events              | DeleteEvent.java                                           | src      |        4 |        3 |       16 |       12 |       35 |
| vfs2.events              | DeleteEvent_ESTest.java                                    | test     |        6 |        0 |        7 |       32 |       45 |
| vfs2.events              | DeleteEvent_ESTest_scaffolding.java                        | test     |       16 |        5 |        0 |       99 |      120 |
+--------------------------+------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| vfs2.filter              | AgeFileFilter.java                                         | src      |       15 |      105 |       16 |       53 |      189 |
| vfs2.filter              | AgeFileFilter_ESTest.java                                  | test     |       25 |        0 |       30 |      161 |      216 |
| vfs2.filter              | AgeFileFilter_ESTest_scaffolding.java                      | test     |       16 |        5 |        0 |     1722 |     1743 |
| vfs2.filter              | AndFileFilter.java                                         | src      |       15 |       29 |       16 |       82 |      142 |
| vfs2.filter              | AndFileFilter_ESTest.java                                  | test     |       22 |        0 |       26 |      175 |      223 |
| vfs2.filter              | AndFileFilter_ESTest_scaffolding.java                      | test     |       16 |        5 |        0 |     1948 |     1969 |
| vfs2.filter              | CanExecuteFileFilter.java                                  | src      |        9 |       44 |       16 |       18 |       87 |
| vfs2.filter              | CanExecuteFileFilter_ESTest.java                           | test     |        7 |        0 |        8 |       47 |       62 |
| vfs2.filter              | CanExecuteFileFilter_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |       98 |      119 |
| vfs2.filter              | CanReadFileFilter.java                                     | src      |       10 |       59 |       16 |       20 |      105 |
| vfs2.filter              | CanReadFileFilter_ESTest.java                              | test     |        7 |        0 |        8 |       47 |       62 |
| vfs2.filter              | CanReadFileFilter_ESTest_scaffolding.java                  | test     |       16 |        5 |        0 |      105 |      126 |
| vfs2.filter              | CanWriteFileFilter.java                                    | src      |        9 |       50 |       16 |       33 |      108 |
| vfs2.filter              | ConditionalFileFilter.java                                 | src      |        8 |       32 |       16 |        9 |       65 |
| vfs2.filter              | DirectoryFileFilter.java                                   | src      |        8 |       34 |       16 |       16 |       74 |
| vfs2.filter              | DirectoryFileFilter_ESTest.java                            | test     |        7 |        0 |        8 |       47 |       62 |
| vfs2.filter              | DirectoryFileFilter_ESTest_scaffolding.java                | test     |       16 |        5 |        0 |      105 |      126 |
| vfs2.filter              | EmptyFileFilter.java                                       | src      |        9 |       46 |       16 |       32 |      103 |
| vfs2.filter              | FalseFileFilter.java                                       | src      |        8 |       20 |       16 |       14 |       58 |
| vfs2.filter              | FalseFileFilter_ESTest.java                                | test     |        4 |        0 |        4 |       20 |       28 |
| vfs2.filter              | FalseFileFilter_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |       87 |      108 |
| vfs2.filter              | FileFileFilter.java                                        | src      |        8 |       31 |       16 |       17 |       72 |
| vfs2.filter              | FileFileFilter_ESTest.java                                 | test     |        8 |        0 |        8 |       53 |       69 |
| vfs2.filter              | FileFileFilter_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |      111 |      132 |
| vfs2.filter              | HiddenFileFilter.java                                      | src      |        9 |       45 |       16 |       21 |       91 |
| vfs2.filter              | HiddenFileFilter_ESTest.java                               | test     |        7 |        0 |        8 |       51 |       66 |
| vfs2.filter              | HiddenFileFilter_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |      106 |      127 |
| vfs2.filter              | IOCase.java                                                | src      |       21 |      145 |       21 |       71 |      258 |
| vfs2.filter              | IOCase_ESTest.java                                         | test     |       48 |        0 |       35 |      244 |      327 |
| vfs2.filter              | IOCase_ESTest_scaffolding.java                             | test     |       16 |        5 |        0 |       78 |       99 |
| vfs2.filter              | NameFileFilter.java                                        | src      |       13 |       62 |       16 |       60 |      151 |
| vfs2.filter              | NameFileFilter_ESTest.java                                 | test     |       22 |        0 |       24 |      151 |      197 |
| vfs2.filter              | NameFileFilter_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |     2069 |     2090 |
| vfs2.filter              | NotFileFilter.java                                         | src      |        9 |       26 |       16 |       24 |       75 |
| vfs2.filter              | NotFileFilter_ESTest.java                                  | test     |        8 |        0 |        7 |       51 |       66 |
| vfs2.filter              | NotFileFilter_ESTest_scaffolding.java                      | test     |       16 |        5 |        0 |      109 |      130 |
| vfs2.filter              | OrFileFilter.java                                          | src      |       15 |       29 |       16 |       78 |      138 |
| vfs2.filter              | OrFileFilter_ESTest.java                                   | test     |       24 |        0 |       25 |      164 |      213 |
| vfs2.filter              | OrFileFilter_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |     2835 |     2856 |
