+------------------+------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name     | File Name                                            | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+------------------+------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| jsoup.examples   | HtmlToPlainText.java                                 | src      |       15 |       19 |        5 |       91 |      130 |
| jsoup.examples   | HtmlToPlainText_ESTest.java                          | test     |       22 |        0 |       29 |      136 |      187 |
| jsoup.examples   | HtmlToPlainText_ESTest_scaffolding.java              | test     |       16 |        5 |        0 |      562 |      583 |
| jsoup.examples   | ListLinks.java                                       | src      |        9 |        3 |        0 |       44 |       56 |
| jsoup.examples   | ListLinks_ESTest.java                                | test     |       10 |        0 |       16 |       45 |       71 |
| jsoup.examples   | ListLinks_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |      211 |      232 |
| jsoup.examples   | Wikipedia.java                                       | src      |        5 |        3 |        0 |       19 |       27 |
| jsoup.examples   | Wikipedia_ESTest.java                                | test     |        7 |        0 |        7 |       34 |       48 |
| jsoup.examples   | Wikipedia_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |      384 |      405 |
| jsoup.examples   | package-info.java                                    | src      |        0 |        3 |        0 |        1 |        4 |
+------------------+------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| jsoup.helper     | ChangeNotifyingArrayList.java                        | src      |       15 |        3 |        0 |       64 |       82 |
| jsoup.helper     | ChangeNotifyingArrayList_ESTest.java                 | test     |        3 |        0 |        5 |       12 |       20 |
| jsoup.helper     | ChangeNotifyingArrayList_ESTest_scaffolding.java     | test     |       14 |        5 |        0 |       61 |       80 |
| jsoup.helper     | Consumer.java                                        | src      |        2 |        9 |        0 |        5 |       16 |
| jsoup.helper     | CookieUtil.java                                      | src      |       11 |        8 |        5 |       66 |       90 |
| jsoup.helper     | CookieUtil_ESTest.java                               | test     |       24 |        0 |       33 |      156 |      213 |
| jsoup.helper     | CookieUtil_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |      689 |      710 |
| jsoup.helper     | DataUtil.java                                        | src      |       26 |       69 |        9 |      227 |      331 |
| jsoup.helper     | HttpConnection.java                                  | src      |      176 |       46 |       35 |     1078 |     1335 |
| jsoup.helper     | HttpConnection_ESTest.java                           | test     |      870 |        0 |      375 |     9558 |    10803 |
| jsoup.helper     | HttpConnection_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |      633 |      654 |
| jsoup.helper     | Validate.java                                        | src      |       19 |       97 |        0 |       69 |      185 |
| jsoup.helper     | Validate_ESTest.java                                 | test     |       63 |        0 |       96 |      295 |      454 |
| jsoup.helper     | Validate_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |       80 |      101 |
| jsoup.helper     | ValidationException.java                             | src      |        9 |        3 |        1 |       21 |       34 |
| jsoup.helper     | ValidationException_ESTest.java                      | test     |        5 |        0 |        4 |       26 |       35 |
| jsoup.helper     | ValidationException_ESTest_scaffolding.java          | test     |       16 |        5 |        0 |       83 |      104 |
| jsoup.helper     | W3CDom.java                                          | src      |       43 |      116 |       13 |      272 |      444 |
| jsoup.helper     | W3CDom_ESTest.java                                   | test     |      100 |        0 |      126 |      631 |      857 |
| jsoup.helper     | W3CDom_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |      615 |      636 |
| jsoup.helper     | package-info.java                                    | src      |        1 |        3 |        0 |        3 |        7 |
+------------------+------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| jsoup.internal   | ConstrainableInputStream.java                        | src      |       15 |       15 |        1 |       89 |      120 |
| jsoup.internal   | ConstrainableInputStream_ESTest.java                 | test     |       36 |        0 |       46 |      251 |      333 |
