+-----------------------------+------------------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                | File Name                                                              | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+-----------------------------+------------------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| base64                      | Base64.java                                                            | src      |        9 |        0 |        0 |       46 |       55 |
| base64                      | Base64_ESTest.java                                                     | test     |       14 |        0 |       12 |       72 |       98 |
| base64                      | Base64_ESTest_scaffolding.java                                         | test     |       16 |        5 |        0 |      111 |      132 |
| base64                      | CommonsCodecBase64.java                                                | src      |        6 |        0 |        0 |       30 |       36 |
| base64                      | CommonsCodecBase64_ESTest.java                                         | test     |       10 |        0 |        4 |       55 |       69 |
| base64                      | CommonsCodecBase64_ESTest_scaffolding.java                             | test     |       16 |        5 |        0 |      111 |      132 |
| base64                      | Java8Base64.java                                                       | src      |        5 |        0 |        0 |       21 |       26 |
| base64                      | Java8Base64_ESTest.java                                                | test     |       12 |        0 |       12 |       62 |       86 |
| base64                      | Java8Base64_ESTest_scaffolding.java                                    | test     |       16 |        5 |        0 |      111 |      132 |
| base64                      | Jaxb230Base64.java                                                     | src      |        5 |        3 |        0 |       24 |       32 |
| base64                      | Jaxb230Base64_ESTest.java                                              | test     |       14 |        0 |       18 |       84 |      116 |
| base64                      | Jaxb230Base64_ESTest_scaffolding.java                                  | test     |       16 |        5 |        0 |      111 |      132 |
| base64                      | JaxbBase64.java                                                        | src      |        5 |        0 |        0 |       24 |       29 |
| base64                      | JaxbBase64_ESTest.java                                                 | test     |       14 |        0 |       15 |       92 |      121 |
| base64                      | JaxbBase64_ESTest_scaffolding.java                                     | test     |       16 |        5 |        0 |      118 |      139 |
+-----------------------------+------------------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| builder.api                 | DefaultApi10a.java                                                     | src      |       17 |       78 |        0 |       66 |      161 |
| builder.api                 | DefaultApi10a_ESTest.java                                              | test     |        3 |        0 |        5 |       12 |       20 |
| builder.api                 | DefaultApi10a_ESTest_scaffolding.java                                  | test     |       14 |        5 |        0 |       73 |       92 |
| builder.api                 | DefaultApi20.java                                                      | src      |       19 |       52 |        0 |       69 |      140 |
| builder.api                 | DefaultApi20_ESTest.java                                               | test     |        3 |        0 |        5 |       12 |       20 |
| builder.api                 | DefaultApi20_ESTest_scaffolding.java                                   | test     |       14 |        5 |        0 |      205 |      224 |
| builder.api                 | OAuth1SignatureType.java                                               | src      |        2 |        0 |        0 |        5 |        7 |
+-----------------------------+------------------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| builder                     | ScopeBuilder.java                                                      | src      |       11 |        7 |        0 |       38 |       56 |
| builder                     | ScopeBuilder_ESTest.java                                               | test     |       21 |        0 |       26 |      122 |      169 |
| builder                     | ScopeBuilder_ESTest_scaffolding.java                                   | test     |       16 |        5 |        0 |       78 |       99 |
| builder                     | ServiceBuilder.java                                                    | src      |       22 |        3 |        0 |      105 |      130 |
| builder                     | ServiceBuilderCommon.java                                              | src      |       11 |       36 |        0 |       16 |       63 |
| builder                     | ServiceBuilderOAuth10a.java                                            | src      |       13 |        6 |        0 |       28 |       47 |
| builder                     | ServiceBuilderOAuth20.java                                             | src      |       15 |       12 |        0 |       30 |       57 |
| builder                     | ServiceBuilder_ESTest.java                                             | test     |       42 |        0 |       55 |      263 |      360 |
| builder                     | ServiceBuilder_ESTest_scaffolding.java                                 | test     |       16 |        5 |        0 |      645 |      666 |
+-----------------------------+------------------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| exceptions                  | OAuthException.java                                                    | src      |        5 |       20 |        0 |       13 |       38 |
| exceptions                  | OAuthException_ESTest.java                                             | test     |        5 |        0 |        4 |       24 |       33 |
| exceptions                  | OAuthException_ESTest_scaffolding.java                                 | test     |       16 |        5 |        0 |       78 |       99 |
| exceptions                  | OAuthParametersMissingException.java                                   | src      |        4 |        8 |        0 |       10 |       22 |
| exceptions                  | OAuthParametersMissingException_ESTest.java                            | test     |        4 |        0 |        4 |       15 |       23 |
| exceptions                  | OAuthParametersMissingException_ESTest_scaffolding.java                | test     |       16 |        5 |        0 |      101 |      122 |
| exceptions                  | OAuthSignatureException.java                                           | src      |        4 |        9 |        0 |        8 |       21 |
| exceptions                  | OAuthSignatureException_ESTest.java                                    | test     |        4 |        0 |        4 |       16 |       24 |
| exceptions                  | OAuthSignatureException_ESTest_scaffolding.java                        | test     |       16 |        5 |        0 |       80 |      101 |
+-----------------------------+------------------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| extractors                  | AbstractJsonExtractor.java                                             | src      |        6 |        0 |        0 |       16 |       22 |
| extractors                  | AbstractJsonExtractor_ESTest.java                                      | test     |       16 |        0 |       11 |      120 |      147 |
| extractors                  | AbstractJsonExtractor_ESTest_scaffolding.java                          | test     |       16 |        5 |        0 |     1209 |     1230 |
| extractors                  | AbstractOAuth1JSONTokenExtractor.java                                  | src      |       11 |        0 |        0 |       27 |       38 |
| extractors                  | AbstractOAuth1JSONTokenExtractor_ESTest.java                           | test     |       19 |        0 |       35 |      129 |      183 |
| extractors                  | AbstractOAuth1JSONTokenExtractor_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |      861 |      882 |
| extractors                  | AbstractOAuth1TokenExtractor.java                                      | src      |        6 |       10 |        0 |       32 |       48 |
| extractors                  | AbstractOAuth1TokenExtractor_ESTest.java                               | test     |       15 |        0 |       27 |      105 |      147 |
| extractors                  | AbstractOAuth1TokenExtractor_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |      110 |      131 |
| extractors                  | BaseStringExtractor.java                                               | src      |        3 |       11 |        0 |        5 |       19 |
| extractors                  | BaseStringExtractorImpl.java                                           | src      |        9 |       12 |        0 |       36 |       57 |
| extractors                  | BaseStringExtractorImpl_ESTest.java                                    | test     |       32 |        0 |       48 |      205 |      285 |
| extractors                  | BaseStringExtractorImpl_ESTest_scaffolding.java                        | test     |       16 |        5 |        0 |      104 |      125 |
| extractors                  | DeviceAuthorizationJsonExtractor.java                                  | src      |       15 |        0 |        0 |       46 |       61 |
| extractors                  | DeviceAuthorizationJsonExtractor_ESTest.java                           | test     |       30 |        0 |       54 |      195 |      279 |
| extractors                  | DeviceAuthorizationJsonExtractor_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |     1154 |     1175 |
| extractors                  | HeaderExtractor.java                                                   | src      |        3 |        9 |        0 |        5 |       17 |
| extractors                  | HeaderExtractorImpl.java                                               | src      |       10 |        6 |        0 |       40 |       56 |
| extractors                  | HeaderExtractorImpl_ESTest.java                                        | test     |       10 |        0 |       12 |       68 |       90 |
| extractors                  | HeaderExtractorImpl_ESTest_scaffolding.java                            | test     |       16 |        5 |        0 |      104 |      125 |
| extractors                  | OAuth1AccessTokenExtractor.java                                        | src      |        8 |        0 |        0 |       16 |       24 |
| extractors                  | OAuth1AccessTokenExtractor_ESTest.java                                 | test     |        7 |        0 |        8 |       35 |       50 |
| extractors                  | OAuth1AccessTokenExtractor_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |       99 |      120 |
| extractors                  | OAuth1AccessTokenJSONExtractor.java                                    | src      |        7 |        0 |        0 |       16 |       23 |
| extractors                  | OAuth1AccessTokenJSONExtractor_ESTest.java                             | test     |        8 |        0 |        8 |       38 |       54 |
| extractors                  | OAuth1AccessTokenJSONExtractor_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |      844 |      865 |
| extractors                  | OAuth1RequestTokenExtractor.java                                       | src      |        7 |        0 |        0 |       16 |       23 |
| extractors                  | OAuth1RequestTokenExtractor_ESTest.java                                | test     |        8 |        0 |        8 |       40 |       56 |
| extractors                  | OAuth1RequestTokenExtractor_ESTest_scaffolding.java                    | test     |       16 |        5 |        0 |       97 |      118 |
| extractors                  | OAuth1RequestTokenJSONExtractor.java                                   | src      |        7 |        0 |        0 |       16 |       23 |
| extractors                  | OAuth1RequestTokenJSONExtractor_ESTest.java                            | test     |        7 |        0 |        8 |       35 |       50 |
| extractors                  | OAuth1RequestTokenJSONExtractor_ESTest_scaffolding.java                | test     |       16 |        5 |        0 |      817 |      838 |
| extractors                  | OAuth2AccessTokenExtractor.java                                        | src      |       13 |        6 |        0 |       57 |       76 |
| extractors                  | OAuth2AccessTokenExtractor_ESTest.java                                 | test     |       20 |        0 |       35 |      128 |      183 |
| extractors                  | OAuth2AccessTokenExtractor_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |       95 |      116 |
| extractors                  | OAuth2AccessTokenJsonExtractor.java                                    | src      |       18 |       10 |        1 |       71 |      100 |
| extractors                  | OAuth2AccessTokenJsonExtractor_ESTest.java                             | test     |       37 |        0 |       66 |      257 |      360 |
| extractors                  | OAuth2AccessTokenJsonExtractor_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |     1279 |     1300 |
| extractors                  | TokenExtractor.java                                                    | src      |        4 |       11 |        0 |        8 |       23 |
+-----------------------------+------------------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| httpclient.jdk              | JDKHttpClient.java                                                     | src      |       32 |        0 |        0 |      202 |      234 |
| httpclient.jdk              | JDKHttpClientConfig.java                                               | src      |       18 |       19 |        0 |       56 |       93 |
| httpclient.jdk              | JDKHttpClientConfig_ESTest.java                                        | test     |       28 |        0 |        4 |      167 |      199 |
| httpclient.jdk              | JDKHttpClientConfig_ESTest_scaffolding.java                            | test     |       16 |        5 |        0 |       79 |      100 |
| httpclient.jdk              | JDKHttpClient_ESTest.java                                              | test     |       59 |        0 |       76 |      480 |      615 |
| httpclient.jdk              | JDKHttpClient_ESTest_scaffolding.java                                  | test     |       16 |        5 |        0 |      114 |      135 |
| httpclient.jdk              | JDKHttpFuture.java                                                     | src      |       12 |        4 |        0 |       42 |       58 |
| httpclient.jdk              | JDKHttpFuture_ESTest.java                                              | test     |       14 |        0 |       10 |       81 |      105 |
| httpclient.jdk              | JDKHttpFuture_ESTest_scaffolding.java                                  | test     |       16 |        5 |        0 |       78 |       99 |
| httpclient.jdk              | JDKHttpProvider.java                                                   | src      |        3 |        0 |        0 |       13 |       16 |
| httpclient.jdk              | JDKHttpProvider_ESTest.java                                            | test     |        5 |        0 |        4 |       26 |       35 |
| httpclient.jdk              | JDKHttpProvider_ESTest_scaffolding.java                                | test     |       16 |        5 |        0 |       96 |      117 |
+-----------------------------+------------------------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| httpclient.multipart        | BodyPartPayload.java                                                   | src      |        8 |        0 |        0 |       22 |       30 |
| httpclient.multipart        | BodyPartPayload_ESTest.java                                            | test     |        8 |        0 |        4 |       46 |       58 |
| httpclient.multipart        | BodyPartPayload_ESTest_scaffolding.java                                | test     |       16 |        5 |        0 |       86 |      107 |
| httpclient.multipart        | ByteArrayBodyPartPayload.java                                          | src      |       13 |        0 |        0 |       37 |       50 |
| httpclient.multipart        | ByteArrayBodyPartPayload_ESTest.java                                   | test     |       20 |        0 |       13 |      127 |      160 |
| httpclient.multipart        | ByteArrayBodyPartPayload_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |       80 |      101 |
| httpclient.multipart        | FileByteArrayBodyPartPayload.java                                      | src      |       16 |        0 |        0 |       61 |       77 |
| httpclient.multipart        | FileByteArrayBodyPartPayload_ESTest.java                               | test     |       27 |        0 |       22 |      142 |      191 |
| httpclient.multipart        | FileByteArrayBodyPartPayload_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |       82 |      103 |
| httpclient.multipart        | MultipartPayload.java                                                  | src      |       20 |        0 |        0 |       90 |      110 |
| httpclient.multipart        | MultipartPayload_ESTest.java                                           | test     |       35 |        0 |       36 |      199 |      270 |
| httpclient.multipart        | MultipartPayload_ESTest_scaffolding.java                               | test     |       16 |        5 |        0 |       86 |      107 |
| httpclient.multipart        | MultipartUtils.java                                                    | src      |       14 |        0 |        0 |       70 |       84 |
